DOI,sensor type (gas/liquid),detect target,lower detection limit (log ppm),upper detection limit (log ppm),probe material,test operating temperature (celcius),pH value (-1 for gas detect),test medium/electrolyte
10.1016/j.snb.2013.02.006,liquid,nitrate,-1.207573989,1.792426011,polyvinyl chloride,25,4,potassium dihydrogen phosphate/water
10.1021/acsami.8b15427,gas,ammonia,-1.301029996,0.698970004,"benzothiophene/1,1,3,3-tetramethyldisiloxane",25,-1,oxygen/nitrogen
10.1021/acsami.8b15427,gas,hydrogen sulfide,-2,0.698970004,"benzothiophene/1,1,3,3-tetramethyldisiloxane",25,-1,oxygen/nitrogen
10.1002/chem.201504196,gas,hydrogen sulfide,-3,1.397940009,"poly(9,9'-spirobifluorene-alt-4,4'-biphenylene)",25,-1,nitrogen
10.1088/1361-6528/ab277b,liquid,h+,-9,0,hafnium oxide,25,,water
10.1021/acsami.1c17044,gas,formaldehyde,-2,-0.096910013,palladium/gold,150,-1,nitrogen
10.1038/s41699-021-00273-6,liquid,h+,5.25,-2.65,hafnium oxide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/TED.2010.2063330,liquid,dopamine,-9.814797935,-3.814797935,4-carboxyphenylboronic acid,25,6,2-(n-morpholino)ethanesulfonic acid/water
10.1002/elan.200900314,gas,ammonia,-2,2,carbon nanotube,25,-1,oxygen/nitrogen
10.1088/0957-4484/24/24/245502,gas,ammonia,2.301029996,,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.synthmet.2014.12.009,gas,water,1.848189117,4.126942718,pentacene,25,-1,oxygen/nitrogen
10.1016/j.synthmet.2015.11.021,gas,nitrogen dioxide,0.301029996,1.477121255,copper phthalocyanine,25,-1,nitrogen
10.1016/j.nanoen.2019.01.052,gas,nitrogen dioxide,0,0.698970004,zinc oxide,25,-1,oxygen/nitrogen
10.1016/j.cej.2021.131424,gas,isopropyl,0,2,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.cej.2021.131424,gas,ethanol,0,2,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.cej.2021.131424,gas,acetone,0,2,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.cej.2021.131424,gas,methanol,0,2,graphene/phenol/ethylene oxide/benzoic acid,25,-1,oxygen/nitrogen
10.1016/j.snb.2019.127040,gas,carbon monoxide,2.397940009,3.301029996,platinum,200,-1,oxygen/nitrogen
10.1016/j.aca.2017.07.066,liquid,calcium chloride,-2.95475528,3.04524472,calcium ionophore iv,25,7,water
10.1016/j.snb.2020.127850,liquid,dopamine,-10.09629625,-3.814797935,indium oxide/zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2009.09.037,liquid,h+,-9,1,hafnium oxide,25,,water
10.1021/acssensors.7b00305,liquid,carbonate,2.100370545,2.193124598,platinum,22.5,7,water
10.1016/j.snb.2019.127215,liquid,h+,-8,0,hafnium oxide,25,,water
10.1002/adfm.201101324,gas,ammonia,0.602059991,1.77815125,naphthalene tetracarboxylic diimide,25,-1,oxygen/nitrogen
10.1021/acsami.5b03059,gas,ethanol,2,,graphene/benzoic acid/ethylene oxide/phenol,25,-1,oxygen/nitrogen
10.1002/adma.201004203,gas,hydrogen,1,3.397940009,palladium,100,-1,oxygen/nitrogen
10.1016/j.dyepig.2017.01.054,gas,ammonia,2.158362492,3,"3,6-diphenyl-2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione",25,-1,nitrogen
10.1016/j.sse.2015.07.012,gas,hydrogen,2,3,palladium,25,-1,oxygen/nitrogen
10.1002/celc.201701117,gas,nitrogen dioxide,-0.301029996,0.477121255,"1,4,8,11,15,18,22,25-octabutoxy-29h,31h-phthalocyanine/yttrium",25,-1,nitrogen
10.1002/celc.201701117,gas,ammonia,0.875061263,1.301029996,"1,4,8,11,15,18,22,25-octabutoxy-29h,31h-phthalocyanine/yttrium",25,-1,nitrogen
10.1016/j.cej.2021.129588,gas,nitrogen dioxide,1,1.698970004,tetramethylammonium/silicon dioxide/aluminum oxide/li+/sr2+,25,-1,nitrogen
10.1016/j.apsusc.2021.150351,gas,acetone,0,1,copper oxide/zinc oxide,25,-1,oxygen/nitrogen
10.1016/j.snb.2018.08.067,liquid,hexahydropyridine,0.827811744,1.930184652,iron(iii) oxide/nickel oxide/zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1088/0957-4484/26/12/125502,liquid,poly-l-lysine,1.041392685,2.763427994,graphene,25,7,tromethamine/edetic acid/water
10.1016/j.snb.2009.10.049,liquid,h+,-9,1,holmium titanate,25,,water
10.1109/JEDS.2020.3008094,liquid,h+,-3,-1,indium arsenide,25,,water
10.1002/aelm.202000812,gas,ammonia,-0.642065153,1.698970004,nickel porphyrin,25,-1,oxygen/nitrogen
10.1002/anie.201000122,gas,diphenyl chlorophosphate,-0.301029996,-0.096910013,"1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one/methanol",25,-1,oxygen/nitrogen
10.1021/acsami.0c04810,gas,nitrogen dioxide,-0.301029996,1.301029996,diketopyrrolopyrrole-fluorene copolymer/gold,25,-1,oxygen/nitrogen
10.1021/acsami.0c04810,gas,ammonia,0,1.301029996,diketopyrrolopyrrole-fluorene copolymer/gold,25,-1,oxygen/nitrogen
10.1016/j.bios.2012.07.063,liquid,hydrogen peroxide,2.531666645,3.531666645,silicon nitride,25,7.2,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.spmi.2016.09.050,gas,hydrogen,-3.879426069,4.120573931,palladium,25,-1,oxygen/nitrogen
10.1021/acsami.0c17225,gas,nitrogen dioxide,-2.318758763,2,graphene,25,-1,oxygen/nitrogen
10.1016/j.orgel.2010.04.021,gas,nitrogen dioxide,-1.698970004,-0.698970004,indigo,80,-1,oxygen/nitrogen
10.1021/acsami.9b19309,liquid,serotonin,-0.975805629,-0.452926884,phenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1088/1361-6528/aad94d,gas,nitrogen dioxide,-2.48148606,-1,phosphorus,25,-1,nitrogen
10.1002/aelm.201901127,gas,ammonia,-0.301029996,1.698970004,poly(vinylidene fluoride-trifluoroethylene-chlorofluoroethylene),25,-1,oxygen/nitrogen
10.1007/s10825-019-01349-9,gas,ammonia,-0.853871964,1.698970004,gold,27,-1,oxygen/nitrogen
10.1016/j.snb.2020.128540,liquid,serotonin,-4.291558881,-0.753956879,aluminum oxide/bismuth oxide,25,7.2,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1039/d0nr04406g,gas,hydrogen sulfide,-1.173925197,1.602059991,indium oxide,180,-1,oxygen/nitrogen
10.1166/jnn.2017.14039,gas,nitrogen dioxide,0,1,tungsten diselenide,25,-1,oxygen/nitrogen
10.1166/jnn.2017.14039,gas,sulfur dioxide,0,1,tungsten diselenide,25,-1,oxygen/nitrogen
10.1166/jnn.2017.14039,gas,ammonia,0,1,tungsten diselenide,25,-1,oxygen/nitrogen
10.1166/jnn.2017.14039,gas,hydrogen sulfide,0,1,tungsten diselenide,25,-1,oxygen/nitrogen
10.1021/acsami.8b13517,gas,beta-citronellol,0.161368002,2,n-(tert-butoxycarbonyl)-l-phenylalanine/pyrene,25,-1,oxygen/nitrogen
10.1021/acsami.8b18752,liquid,dopamine,-2.814797935,1.185202065,nafion,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2013.02.080,liquid,h+,-5,-1,indium nitride,25,,water
10.1021/acsami.8b06458,gas,ammonia,-4,2,poly(4-iso-cyano-benzoic acid 5-(2-dimethylamino-ethoxy)-2-nitro-benzylester)-b-poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1007/s10854-013-1301-4,liquid,h+,-9,1,indium oxide,25,,water
10.1109/JSEN.2010.2080317,liquid,h+,-9,2.97,indium oxide,25,,water
10.1007/s12274-017-1768-z,gas,nitrogen dioxide,0,,silicon nitride,25,-1,nitrogen
10.1016/j.cej.2020.128064,liquid,k+,-1.805782134,2.768249134,valinomycin,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.mssp.2014.06.033,liquid,h+,-9,1,indium oxide/carbon nanotube,25,,water
10.1021/acsnano.7b06853,gas,nitrogen dioxide,-3.318758763,-0.12767523,tantalum trisulfide,25,-1,nitrogen
10.1143/JJAP.50.06GE07,liquid,sodium chloride,-4.233289793,1.766710207,graphene,25,7,tris(hydroxymethyl)aminomethane/water
10.1109/JSEN.2016.2531121,gas,dimethyl methylphosphonate,0.698970004,1.176091259,polypyrrole,25,-1,oxygen/nitrogen
10.1016/j.orgel.2013.12.016,liquid,k+,-0.407845458,3.592154542,valinomycin ,25,7,water
10.1016/j.orgel.2013.12.016,liquid,ca2+,-5.397072287,3.602927713,calcium ionophore iv,25,7,water
10.1016/j.orgel.2011.09.014,gas,nitrogen dioxide,-0.602059991,0.602059991,"copper, [1,2,3,4,8,9,10,11,15,16,17,18,22,23,24,25-hexadecachloro-29h,31h-phthalocyaninato(2-)-kappan29,kappan30,kappan31,kappan32]-, (sp-4-1)-",295,-1,oxygen/nitrogen
10.1016/j.mssp.2018.06.031,gas,hydrogen,2,3,titanium dioxide,25,-1,oxygen/nitrogen
10.1016/j.jallcom.2016.10.168,liquid,glucose,-0.744351269,3.732769985,graphite,25,7,water
10.1039/C6RA16736E,gas,ammonia,2,2.698970004,silicene,200,-1,oxygen/nitrogen
10.1021/acssensors.9b01150,liquid,δ9-tetrahydrocannabinol,-5.500312917,-2.200659451,fast blue bb salt,25,9,sodium hydroxide/water
10.1016/j.mseb.2017.08.019,gas,nitrogen dioxide,0,1.477121255,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1002/aelm.201700120,gas,ethanol,-3,0,diketopyrrolopyrrole-terthiophene conjugated polymer,25,-1,oxygen/nitrogen
10.1016/j.snb.2013.12.030,gas,carbon monoxide,2.301029996,2.903089987,platinum,260,-1,nitrogen
10.1002/adma.202101518,liquid,dopamine,-0.331924351,1.88417207,copper phthalocyanine,25,6.5,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2013.04.060,liquid,h+,-7,1,indium oxide/gallium oxide/zinc oxide,25,,water
10.1039/C8TC02635A,gas,nitrogen dioxide,1.84509804,2.544068044,molybdenum ditelluride,25,-1,nitrogen
10.1016/j.snb.2015.06.069,gas,carbon monoxide,0.698970004,2,tin dioxide,200,-1,oxygen/nitrogen
10.1149/1945-7111/abcd4c,liquid,hydrazine,-4.415055768,-2.452844328,zinc oxide,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2015.11.012,gas,ethanol,2.698970004,3.447158031,poly(3-hexylthiophene),25,-1,nitrogen
10.1063/1.4759147,liquid,na+,-0.638466696,2.361533304,graphene,25,7,water
10.1143/JJAP.49.024206,gas,hydrogen,1,4,platinum,25,-1,oxygen/nitrogen
10.1016/j.snb.2016.05.096,gas,hydrogen sulfide,0,0.698970004,tin dioxide,25,-1,oxygen/nitrogen
10.1109/MEMSYS.2013.6474408,gas,ammonia,1.477121255,3.698970004,1-ethyl-3-methylimidazolium tetrafluoroborate,25,-1,oxygen/nitrogen
10.1021/jp306892p,gas,hydrogen peroxide,1.973127854,4.113943352,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1002/elan.201300015,gas,ammonia,-1.431798276,0,polyaniline,25,-1,oxygen/nitrogen
10.1002/aelm.202000579,gas,dimethoate,-0.22184875,1,poly(sodium-p-styrenesulfonate),25,-1,oxygen/nitrogen
10.1021/acsami.9b16552,gas,formaldehyde,-3,1.301029996,tin (ii) sulfide,25,-1,nitrogen
10.1109/LED.2016.2536359,liquid,h+,-6,-1,indium oxide/gallium oxide/zinc oxide,25,,water
10.1039/d0tc01341b,gas,ammonia,1,1.602059991,"poly[(3,6-bis(thiophen-2-yl)-2,5-bis(7-decylnonadecyl)-2,5-dihydropyrrolo[3,4-c]pyrrole-1,4-dione-selenopheno[3,2-b]thiophene-2,5-diyl)]",25,-1,oxygen/nitrogen
10.1016/j.snb.2022.132113,gas,nitrogen dioxide,-2.638272164,1.477121255,"poly(3-hexylthiophene-2,5-diyl)",25,-1,oxygen/nitrogen
10.1016/j.sna.2012.01.004,liquid,h+,-6,-2,indium oxide/silica,25,,water
10.1016/j.snb.2020.128609,gas,ammonia,-1.22184875,-0.124938737,tetraphenylporphyrin,25,-1,oxygen/nitrogen
10.1016/j.snb.2020.128609,gas,hydrogen sulfide,-0.920818754,0,tetraphenylporphyrin,25,-1,oxygen/nitrogen
10.1039/d1ta02383g,gas,formaldehyde,-1,1,molybdenum disulfide,25,-1,oxygen/nitrogen
10.1007/s13206-020-4410-1,liquid,h+,-6,-1,indium oxide/tin dioxide,25,,water
10.1049/mnl.2018.5240,liquid,h+,-0.6,2.99,indium oxide/tin dioxide,25,,water
10.3390/s23208350,liquid,h+,-9.98,2.64,indium oxide/tin dioxide,25,,water
10.1021/acssensors.9b01307,gas,nitrogen dioxide,-1,3.301029996,molybdenum disulfide,25,-1,nitrogen
10.1016/j.bios.2016.03.046,liquid,methylene blue,-2.822955787,2.98206761,graphene/benzoic acid/ethylene oxide/phenol,25,7,water
10.1016/j.snb.2020.128676,gas,"n,n-dimethylformamide",-2.301029996,0.301029996,indium oxide/ytterbium oxide,25,-1,oxygen/nitrogen
10.1109/JSEN.2011.2179645,gas,ammonia,1.698970004,2.352182518,platinum,330,-1,nitrogen
10.1109/JSEN.2011.2179645,gas,carbon monoxide,2,2.602059991,platinum,330,-1,nitrogen
10.1109/JSEN.2011.2179645,gas,nitrogen monoxide,2,2.602059991,platinum,330,-1,nitrogen
10.1109/JSEN.2011.2179645,gas,propene,2,2.602059991,platinum,330,-1,nitrogen
10.1109/JSEN.2011.2179645,gas,hydrogen,2,2.602059991,platinum,330,-1,nitrogen
10.1149/2.0511906jes,liquid,h+,-9,1,indium oxide/tin dioxide,25,,water
10.1016/j.orgel.2015.05.012,gas,ammonia,-0.698970004,1.176091259,poly(vinyl alcohol),25,-1,oxygen/nitrogen
10.1016/j.snb.2021.130419,gas,nitrogen dioxide,-1,-0.301029996,indium oxide,25,-1,oxygen/nitrogen
10.23919/AM-FPD.2018.8437381,liquid,h+,-7,-1,indium oxide/tin dioxide,25,,water
10.1016/j.snb.2022.132696,gas,nitrogen dioxide,-1.886056648,1,phosphorus,20,-1,oxygen/nitrogen
10.1039/c5nr09001f,gas,ammonia,1.698970004,2.397940009,"dithieno[2,3-d:2',3'-d']benzo[1,2-b:4,5-b']dithiophene-5,10-dione/tetrathiapentacene",25,-1,nitrogen
10.1039/c8nr01275j,gas,ammonia,0.698970004,1.698970004,"dithieno[2,3-d:2',3'-d']benzo[1,2-b:4,5-b']dithiophene-5,10-dione",25,-1,oxygen/nitrogen
10.1016/j.snb.2017.12.155,gas,carbon dioxide,2.255272505,2.698970004,sodium carbonate/sodium nitrate,160,-1,nitrogen
10.1063/1.4750063,gas,ethanol,0.698970004,3,"indolo[3,2-b]carbazole/2,8-dichloro-5,11-dihexyl-indolo(3,2-b)carbazole",25,-1,oxygen/nitrogen
10.1002/celc.201902013,liquid,glucose,2.899096586,3.556673905,4-mercaptophenylboronic acid,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/LSENS.2018.2880761,liquid,h+,-9,1,indium oxide/tin dioxide/polyvinyl butyral,25,,water
10.1109/JSEN.2020.2994331,liquid,h+,-9,1,indium oxide/zinc oxide/gallium oxide/magnesium oxide,25,,water
10.1149/1.3544928,liquid,h+,-9,1,lutetium oxide,25,,water
10.1021/acsami.1c24740,gas,nitrogen dioxide,1,1.698970004,co2+/2-methylimidazole,25,-1,nitrogen
10.1002/admi.201901696,gas,nitrogen dioxide,1.477121255,,"5,11-bis(triethylsilylethynyl)anthradithiophene",25,-1,nitrogen
10.1109/LED.2011.2146750,gas,diphenyl chlorophosphate,-0.301029996,-0.096910013,"1,5,7-trimethyl-3-azabicyclo[3.3.1]nonan-2-one/methanol",25,-1,oxygen/nitrogen
10.1063/1.4874182,liquid,na+,-0.638461029,3.361538971,zinc oxide,25,7,water
10.1063/1.4874182,liquid,k+,-0.407823243,3.592176757,zinc oxide,25,7,water
10.1039/D0MH01420F,gas,hydrogen sulfide,-3,1.397940009,triazolyl ketone hydrazone,25,-1,nitrogen
10.1002/smll.201500566,gas,ethanol,1,3.301029996,platinum,25,-1,nitrogen
10.1016/j.orgel.2019.06.054,gas,nitrogen dioxide,2.158362492,2.883093359,copper phthalocyanine,18,-1,oxygen/nitrogen
10.1002/adfm.201808188,gas,xylene,1,2.505149978,cyclopentadithiophene benzothiadiazole copolymer,25,-1,nitrogen
10.1016/j.snb.2017.04.167,gas,hexane,2.152288344,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,octane,1.643452676,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,decane,0.301029996,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,benzene,2.385606274,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,toluene,1.812913357,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,p-xylene,1.591064607,,diketopyrrolopyrrole/furan /anthracene ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,hexane,2.459392488,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,octane,1.748188027,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,decane,1.204119983,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,benzene,1.968482949,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,toluene,1.908485019,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,p-xylene,1.591064607,,diketopyrrolopyrrole/thiophene  /naphthalene  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,hexane,2.252853031,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,octane,1.531478917,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,decane,0.954242509,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,benzene,1.748188027,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,toluene,1.944482672,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.snb.2017.04.167,gas,p-xylene,1.672097858,,diketopyrrolopyrrole/thiophene  /benzothiadiazole  ,25,-1,oxygen/nitrogen
10.1016/j.orgel.2017.07.008,gas,nitrogen dioxide,0,1.477121255,molybdenum trioxide,25,-1,oxygen/nitrogen
10.1063/1.4869638,liquid,h+,-9,1,melanin,25,,water
10.1016/j.sna.2020.112172,gas,ammonia,-0.508638306,3.698970004,platinum,120,-1,oxygen/nitrogen
10.1134/S1995078010050137,liquid,patulin,-2,-1,ceric oxide,25,7,water
10.1134/S1995078010050137,liquid,biphentrin,-4,-2,ceric oxide,25,7,water
10.1016/j.snb.2020.129166,gas,nitrogen dioxide,-3.568636236,0,indium oxide,150,-1,oxygen/nitrogen
10.1021/acssensors.9b00637,gas,hydrogen,2,3,platinum,25,-1,oxygen/nitrogen
10.1016/j.synthmet.2019.116289,gas,ammonia,1,2,naphthalenediimide,25,-1,nitrogen
10.1016/j.snb.2014.06.064,gas,nitrogen dioxide,-1,1,carbon nanotube,25,-1,oxygen/nitrogen
10.1016/j.snb.2014.06.064,gas,ammonia,-1,1,carbon nanotube,25,-1,oxygen/nitrogen
10.1016/j.snb.2014.06.064,gas,dimethyl methylphosphonate,0,1.301029996,carbon nanotube,25,-1,oxygen/nitrogen
10.1109/JSEN.2019.2963269,gas,ammonia,0.301029996,1,"poly[2,5-bis(3-tetradecylthiophen-2-yl) thieno [3,2-b] thiophene]",25,-1,oxygen/nitrogen
10.1016/j.snb.2011.06.030,gas,dimethyl methylphosphonate,0.897627091,1.198657087,tetrabenzoporphyrin,25,-1,oxygen/nitrogen
10.1016/j.orgel.2014.06.034,gas,n-butanol,1.477121255,2.614897216,"poly(3-hexylthiophene-2,5-diyl)",25,-1,nitrogen
10.1021/acs.langmuir.9b03636,gas,nitrogen dioxide,-0.301029996,1.397940009,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1063/1.4841535,gas,nitrogen monoxide,-5,-3.698970004,carbon nanotube,25,-1,nitrogen
10.1016/j.orgel.2017.05.043,gas,hydrogen sulfide,-1.698970004,1,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1016/j.orgel.2017.05.043,gas,nitrogen monoxide,-1,1,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1016/j.orgel.2017.05.043,gas,nitrogen dioxide,-1.301029996,1,copper phthalocyanine,25,-1,oxygen/nitrogen
10.1039/c9tc04889h,gas,nitrogen dioxide,0,1.301029996,methyl cellulose,25,-1,nitrogen
10.1016/j.snb.2012.10.078,gas,ammonia,1.176091259,1.301029996,platinum,300,-1,oxygen/nitrogen
10.1063/1.4758697,gas,nitrogen dioxide,0.176091259,0.477121255,"2,9-di(pentan-3-yl)anthra[2,1,9-def:6,5,10-d'e'f']diisoquinoline-1,3,8,10(2h,9h)-tetraone",25,-1,nitrogen
10.1021/acsanm.1c01568,liquid,h+,-9,1,molybdenum disulfide,25,,water
10.1021/acsami.5b01721,gas,hexane,0,1.903089987,2-propenyl,25,-1,oxygen/nitrogen
10.1007/s10853-022-08005-x,liquid,h+,-9,1,nafion/vanadium pentoxide,25,,water
10.1016/j.surfin.2023.102993,liquid,h+,-9,1,nickel oxide/titanium dioxide,25,,water
10.1021/acsami.1c05681,gas,nitrogen dioxide,-3.619788758,-0.045757491,"poly [3-(3″,4′-difluoro-[2,2′:5′,2″-terthiophen]-5-yl)-2,5-bis(3-(2-(2-methoxyethoxy)ethoxy)-2-((2-(2-methoxyethoxy)-ethoxy)-methyl)-propyl)-6-(thiophen-2-yl)pyrrolo[3,4-c]pyrrole-1,4(2h,5h)-dione]",25,-1,oxygen/nitrogen
10.1002/adfm.202205299,gas,ammonia,0.698970004,2.698970004,molybdenum ditelluride,25,-1,oxygen/nitrogen
10.1016/j.snb.2012.05.030,gas,oxygen,2.698970004,5.119186581,picene,25,-1,argon
10.1016/j.snb.2017.11.146,gas,ammonia,1.477121255,1.954242509,copper phthalocyanine,21,-1,oxygen/nitrogen
10.1007/s10853-019-03752-w,liquid,k+,-0.67554057,4.384527402,valinomycin,25,7,potassium chloride/water
10.1007/s12274-013-0393-8,liquid,h+,-9,-2.7,nickel silicide,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/LED.2017.2749445,gas,nitrogen dioxide,-1.301029996,1,zinc phthalocyanine,25,-1,nitrogen
10.1109/LED.2017.2749445,gas,hydrogen sulfide,-1.301029996,1.301029996,zinc phthalocyanine,25,-1,nitrogen
10.1016/j.orgel.2018.07.023,liquid,nitrogen dioxide,-0.522878745,1.176091259,"poly(3-hexylthiophene-2,5-diyl)/poly(9-vinylcarbazole)",25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1109/JSEN.2021.3123633,liquid,h+,-10,2,niobium hydride,25,,water
10.1002/aelm.201800025,gas,ammonia,-2,2,"poly[(4,6-thieno[3,4-b]thiophen-2-yl)-2-ethylhexan-1-one]",25,-1,oxygen/nitrogen
10.3762/bjnano.7.186,liquid,catechol ,-1.293570705,1.217878578,lutetium phthalocyanine,25,7.4,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1016/j.snb.2013.12.056,liquid,h+,-7,-1,niobium pentoxide,25,,water
10.1021/acsami.5b05922,gas,methanol,0,2.477121255,graphene,25,-1,oxygen/nitrogen
10.1016/j.snb.2014.08.057,liquid,h+,-9,1,palladium oxide,27,,water
10.1088/1361-6528/aafe44,gas,ammonia,-0.070581074,2.230448921,cadmium sulfide/titanium dioxide,25,-1,oxygen/nitrogen
10.1039/D0CP02070B,gas,ammonia,-0.428291168,1.812913357,titanium dioxide,27,-1,oxygen/nitrogen
10.1002/pssr.202000086,gas,nitrogen dioxide,-1.602059991,1.77815125,"nickel cation/hexafluorotitanate(2-)/5,10,15,20-tetra(4-pyridyl)-21h,23h-porphine",25,-1,nitrogen
10.3390/polym11101682,gas,ammonia,0,1,poly(3-hexylthiophene),25,-1,nitrogen
10.1021/acssensors.1c01942,gas,ammonia,-0.301029996,1.477121255,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1088/1361-6528/ab668a,gas,ammonia,0.086,2,fullerene,25,-1,nitrogen
10.1109/LED.2010.2099098,liquid,h+,-11,-1,parylene c,25,,water
10.1088/1361-6528/abe004,gas,hydrogen sulfide,-3.301029996,0,gold/zinc oxide,25,-1,oxygen/nitrogen
10.1016/j.orgel.2017.06.010,liquid,h+,-7,-1,parylene c,25,,sodium chloride/potassium chloride/disodium phosphate/monopotassium phosphate/water
10.1021/acsami.1c23390,gas,"n,n-dimethylformamide",0.698970004,1,indium oxide/gadolinium oxide,25,-1,oxygen/nitrogen
10.1039/c3nr03940d,liquid,h+,-7,0,phenol,25,,water
10.1016/j.snb.2021.130951,gas,methanol,0,2,poly(3-hexylthiophene),22,-1,oxygen/nitrogen
10.1021/acsami.0c20957,gas,ammonia,1,,indacenodithiophene-co-benzothiadiazole,25,-1,oxygen/nitrogen
10.1109/LED.2022.3145374,gas,nitrogen dioxide,-1.301029996,,indium oxide/gallium oxide/zinc oxide,150,-1,oxygen/nitrogen
10.1016/j.snb.2020.129258,gas,nitrogen dioxide,-1,0,indium oxide,180,-1,oxygen/nitrogen
10.1016/j.snb.2020.129258,gas,hydrogen sulfide,1,2,indium oxide,180,-1,oxygen/nitrogen
10.1021/acsami.8b04970,liquid,h+,-6,2,"poly(3,4-ethylenedioxythiophene)/poly(styrenesulfonate)",25,,sodium chloride/potassium chloride/urea/lactic acid/water
10.1166/jnn.2011.4042,gas,ethanol,0.698970004,3,polypyrrole,25,-1,oxygen/nitrogen
10.1016/j.bbagen.2013.01.023,liquid,h+,-4.8,-0.4,poly(3-hexylthiophene),25,,water
10.1166/jnn.2016.12370,gas,ammonia,-0.602059991,1.397940009,poly-3-hexylthiophene/graphene,25,-1,oxygen/nitrogen
10.1016/j.snb.2011.07.015,gas,methanol,3.477121255,4.698970004,platinum,200,-1,oxygen/nitrogen
10.1021/acsami.8b13292,gas,ammonia,0.929418926,1.984527313,gold,25,-1,nitrogen
10.1007/s11431-017-9230-3,gas,nitrogen dioxide,1,1.903089987,poly(3-hexylthiophene),25,-1,oxygen/nitrogen
10.1088/1361-6641/ab2155,gas,nitrogen dioxide,0,1.301029996,indium oxide/gallium oxide/zinc oxide,90,-1,oxygen/nitrogen
